               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,             0.03526,            0.035469,           0.0067962,             0.89631,             0.90485,             0.94178,             0.67949,            0.030971,             0.02156,           0.0031183,            0.004456,            0.004456,            0.004456
                  58,            0.035143,            0.043283,           0.0069037,             0.89866,             0.90756,             0.94694,             0.67013,            0.031878,            0.021857,            0.003059,            0.004357,            0.004357,            0.004357
                  59,            0.036481,            0.036726,           0.0053472,             0.89519,             0.90326,             0.94559,             0.65026,            0.032231,            0.021733,           0.0030212,            0.004258,            0.004258,            0.004258
                  60,            0.035434,            0.037582,           0.0061765,              0.9174,              0.8846,             0.94545,              0.6803,            0.031405,            0.021712,            0.002971,            0.004159,            0.004159,            0.004159
                  61,            0.035043,            0.040969,           0.0057187,             0.90836,             0.88989,             0.93674,             0.68388,            0.031222,            0.021675,           0.0029471,             0.00406,             0.00406,             0.00406
                  62,            0.035416,            0.037791,            0.006468,             0.90123,             0.89733,             0.93881,             0.70233,            0.030036,            0.021393,           0.0029495,            0.003961,            0.003961,            0.003961
                  63,            0.034705,            0.039784,           0.0052648,             0.89036,             0.90339,             0.93788,             0.70044,            0.030428,            0.021434,           0.0029435,            0.003862,            0.003862,            0.003862
                  64,            0.034983,             0.03846,           0.0051324,             0.89214,             0.90341,             0.95103,             0.70193,            0.029451,               0.021,           0.0029445,            0.003763,            0.003763,            0.003763
                  65,             0.03359,            0.040826,           0.0058516,             0.89852,             0.89984,             0.95112,             0.70864,            0.029287,            0.020942,           0.0029283,            0.003664,            0.003664,            0.003664
                  66,            0.031643,            0.035245,            0.005525,             0.90301,             0.89604,              0.9502,             0.69856,            0.029736,             0.02121,           0.0029038,            0.003565,            0.003565,            0.003565
                  67,            0.032981,            0.040379,           0.0056117,             0.90132,             0.89213,             0.95067,             0.70216,            0.029953,            0.021185,           0.0028778,            0.003466,            0.003466,            0.003466
                  68,            0.033638,            0.037645,           0.0057826,             0.90681,             0.89381,             0.95175,             0.71834,            0.028338,            0.020709,           0.0028525,            0.003367,            0.003367,            0.003367
                  69,            0.032976,            0.041539,           0.0057317,             0.91951,             0.89164,             0.95148,             0.71191,            0.028234,            0.020684,            0.002821,            0.003268,            0.003268,            0.003268
                  70,             0.03338,            0.045914,           0.0052982,             0.91275,             0.89715,             0.95141,             0.71124,            0.029311,            0.020817,           0.0027899,            0.003169,            0.003169,            0.003169
                  71,            0.032752,            0.039496,           0.0050332,             0.92097,             0.89598,             0.95087,             0.72389,            0.027966,            0.020495,            0.002778,             0.00307,             0.00307,             0.00307
                  72,            0.032591,            0.039836,            0.005484,             0.87708,             0.92272,             0.95159,             0.73694,            0.027338,            0.020052,           0.0027606,            0.002971,            0.002971,            0.002971
                  73,            0.031186,            0.039163,           0.0054339,             0.87333,             0.91876,             0.94876,             0.72327,            0.027933,            0.019925,            0.002721,            0.002872,            0.002872,            0.002872
                  74,            0.033234,            0.038981,           0.0053663,             0.86658,             0.92524,             0.94605,             0.73331,            0.027409,            0.019698,           0.0026937,            0.002773,            0.002773,            0.002773
                  75,            0.032988,            0.041639,           0.0052964,             0.87779,             0.91359,             0.94766,              0.7254,            0.027452,             0.01982,           0.0026719,            0.002674,            0.002674,            0.002674
                  76,            0.033315,            0.034604,           0.0048003,             0.92363,             0.88565,             0.94603,             0.71969,            0.027188,            0.019711,           0.0026449,            0.002575,            0.002575,            0.002575
                  77,             0.03128,            0.035649,           0.0046597,             0.92541,             0.88985,             0.94893,             0.73464,             0.02633,            0.019493,           0.0026125,            0.002476,            0.002476,            0.002476
                  78,            0.031198,            0.037562,           0.0047598,             0.92937,             0.89018,             0.95082,             0.73423,            0.026328,            0.019443,           0.0025775,            0.002377,            0.002377,            0.002377
                  79,            0.032559,            0.038155,           0.0050254,             0.93727,             0.89199,               0.955,             0.74511,            0.025956,              0.0193,           0.0025416,            0.002278,            0.002278,            0.002278
                  80,            0.029459,            0.031987,           0.0049241,             0.90769,             0.91198,             0.95557,             0.74906,            0.026154,            0.019302,           0.0025311,            0.002179,            0.002179,            0.002179
                  81,            0.031975,            0.039873,           0.0047367,             0.90379,             0.92613,             0.95588,             0.75251,            0.025944,            0.019088,            0.002506,             0.00208,             0.00208,             0.00208
                  82,            0.033569,            0.034146,           0.0055226,             0.90295,             0.92848,             0.95603,             0.74673,            0.026053,            0.019037,           0.0024744,            0.001981,            0.001981,            0.001981
                  83,            0.029414,            0.037216,           0.0044436,             0.90991,             0.91674,             0.95546,             0.75317,             0.02568,               0.019,           0.0024601,            0.001882,            0.001882,            0.001882
                  84,            0.031327,            0.036366,           0.0047268,             0.91315,              0.9214,              0.9586,             0.76416,            0.025275,            0.018873,           0.0024465,            0.001783,            0.001783,            0.001783
                  85,            0.027873,            0.032534,           0.0047789,             0.92357,             0.91902,             0.95939,             0.76462,            0.025232,            0.018806,           0.0024155,            0.001684,            0.001684,            0.001684
                  86,            0.032128,            0.037555,           0.0051954,             0.92574,             0.91477,             0.95679,             0.76343,            0.025105,            0.018777,            0.002375,            0.001585,            0.001585,            0.001585
                  87,            0.029395,            0.034038,            0.004676,             0.92217,             0.91336,             0.95927,             0.75358,            0.025255,            0.018791,           0.0023572,            0.001486,            0.001486,            0.001486
                  88,            0.029081,             0.03329,           0.0042825,             0.90036,             0.92228,             0.95319,             0.76029,            0.025016,            0.018706,           0.0023402,            0.001387,            0.001387,            0.001387
                  89,            0.029615,            0.034199,           0.0047479,             0.88791,             0.92472,             0.95427,             0.75986,            0.024912,            0.018565,            0.002331,            0.001288,            0.001288,            0.001288
                  90,            0.029678,             0.03529,           0.0052204,             0.93328,             0.89587,             0.95839,             0.76159,            0.024498,            0.018366,           0.0023206,            0.001189,            0.001189,            0.001189
                  91,            0.030052,            0.036959,            0.004585,             0.92705,             0.89203,             0.95472,             0.76825,            0.024358,            0.018269,            0.002311,             0.00109,             0.00109,             0.00109
                  92,            0.028855,            0.035393,           0.0045383,             0.92574,             0.89007,             0.95342,             0.76938,            0.024234,            0.018166,           0.0022949,            0.000991,            0.000991,            0.000991
                  93,            0.029376,             0.03885,           0.0041504,               0.924,             0.89158,             0.95262,             0.76645,            0.024221,            0.018127,           0.0022883,            0.000892,            0.000892,            0.000892
                  94,            0.029716,            0.037331,           0.0052444,             0.92884,              0.8954,             0.95351,              0.7702,             0.02413,            0.018089,           0.0022741,            0.000793,            0.000793,            0.000793
                  95,            0.027422,            0.034192,           0.0041551,             0.93779,             0.89662,             0.95694,             0.77502,            0.023954,             0.01803,           0.0022595,            0.000694,            0.000694,            0.000694
                  96,            0.028354,            0.034729,           0.0044521,             0.93349,             0.88762,             0.95276,              0.7749,            0.023861,            0.017941,           0.0022525,            0.000595,            0.000595,            0.000595
                  97,            0.030166,             0.03835,           0.0047404,             0.94001,             0.89323,             0.95738,             0.77263,            0.023952,            0.017929,            0.002248,            0.000496,            0.000496,            0.000496
                  98,            0.027816,            0.036025,           0.0048326,             0.93581,             0.88864,             0.95373,             0.77524,            0.023813,            0.017865,           0.0022387,            0.000397,            0.000397,            0.000397
                  99,            0.030358,            0.038727,           0.0044564,              0.9365,             0.88904,             0.95375,             0.77519,            0.023691,            0.017815,           0.0022343,            0.000298,            0.000298,            0.000298
