               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.035299,            0.038035,           0.0062571,              0.9074,             0.86422,             0.93179,              0.6689,            0.032461,            0.021751,           0.0032162,            0.004852,            0.004852,            0.004852
                  54,            0.037594,            0.037023,           0.0075112,             0.91306,             0.86966,             0.92806,             0.67853,            0.031103,            0.021687,           0.0031627,            0.004753,            0.004753,            0.004753
                  55,            0.036317,            0.039726,           0.0063651,             0.90232,             0.87021,             0.93326,             0.67551,            0.030588,             0.02167,           0.0031062,            0.004654,            0.004654,            0.004654
                  56,            0.035484,            0.039821,           0.0061973,             0.92636,             0.86605,             0.92826,             0.68157,            0.031137,            0.021698,           0.0030803,            0.004555,            0.004555,            0.004555
                  57,            0.035451,            0.035187,           0.0065879,             0.92839,             0.85945,             0.92959,             0.67985,            0.031296,            0.021823,           0.0030762,            0.004456,            0.004456,            0.004456
                  58,            0.035077,            0.043282,           0.0067512,              0.9331,             0.86847,             0.94118,             0.67827,            0.030866,            0.021757,           0.0030387,            0.004357,            0.004357,            0.004357
                  59,            0.035936,            0.036618,           0.0054703,             0.92863,             0.86263,             0.94113,             0.64839,            0.032553,            0.021989,           0.0030253,            0.004258,            0.004258,            0.004258
                  60,            0.035733,              0.0379,            0.005972,             0.93192,             0.87123,             0.94258,             0.66819,            0.031217,            0.021825,           0.0029927,            0.004159,            0.004159,            0.004159
                  61,            0.034679,            0.041116,           0.0058739,              0.9314,             0.87461,             0.94144,             0.68246,            0.031299,            0.021747,            0.002954,             0.00406,             0.00406,             0.00406
                  62,            0.035632,            0.037625,           0.0063307,             0.92805,             0.86611,             0.94306,             0.70117,            0.030135,            0.021509,           0.0029391,            0.003961,            0.003961,            0.003961
                  63,            0.034433,             0.03987,           0.0053499,             0.92923,              0.8791,             0.94956,             0.69182,            0.030436,            0.021387,           0.0029364,            0.003862,            0.003862,            0.003862
                  64,            0.035304,            0.038364,           0.0050514,             0.93276,             0.86844,              0.9463,             0.69762,            0.029138,            0.020944,           0.0029244,            0.003763,            0.003763,            0.003763
                  65,            0.033672,             0.04112,           0.0054278,             0.93192,             0.87184,              0.9492,             0.71261,             0.02861,            0.020713,           0.0028908,            0.003664,            0.003664,            0.003664
