               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.018498,           0.0053241,           0.0012532,             0.99827,                   1,               0.995,             0.83838,           0.0092051,           0.0024028,          0.00055515,            0.005446,            0.005446,            0.005446
                  48,            0.018046,           0.0051156,            0.001073,             0.99865,                   1,               0.995,             0.85336,           0.0086404,           0.0023463,          0.00058095,            0.005347,            0.005347,            0.005347
                  49,            0.018789,             0.00547,           0.0010051,             0.99781,                   1,               0.995,             0.83957,           0.0089068,           0.0024058,          0.00055819,            0.005248,            0.005248,            0.005248
                  50,            0.018759,           0.0053424,          0.00093138,              0.9974,                   1,               0.995,             0.84744,           0.0085768,           0.0023565,          0.00061001,            0.005149,            0.005149,            0.005149
                  51,            0.018372,           0.0051953,           0.0010764,             0.99843,                   1,               0.995,             0.85076,            0.008745,           0.0023486,          0.00058847,             0.00505,             0.00505,             0.00505
                  52,            0.018158,           0.0051196,          0.00091808,              0.9982,                   1,               0.995,             0.84363,           0.0089922,           0.0023672,          0.00049305,            0.004951,            0.004951,            0.004951
                  53,            0.017007,           0.0050857,          0.00086121,             0.99858,                   1,               0.995,             0.81773,           0.0092784,           0.0023806,          0.00047691,            0.004852,            0.004852,            0.004852
                  54,            0.018286,           0.0051949,          0.00084216,             0.99847,                   1,               0.995,             0.84368,           0.0085179,           0.0024497,          0.00057283,            0.004753,            0.004753,            0.004753
                  55,            0.017275,            0.005019,          0.00089439,             0.99853,                   1,               0.995,              0.8466,           0.0087878,           0.0024455,          0.00049368,            0.004654,            0.004654,            0.004654
                  56,            0.016831,           0.0050563,          0.00081468,             0.99844,                   1,               0.995,             0.84993,           0.0087619,           0.0023274,          0.00042763,            0.004555,            0.004555,            0.004555
                  57,            0.017172,            0.005028,          0.00084084,             0.99874,             0.99947,               0.995,             0.85182,           0.0085533,           0.0023468,           0.0004613,            0.004456,            0.004456,            0.004456
                  58,            0.016565,           0.0050221,          0.00079902,             0.99835,                   1,               0.995,             0.83931,           0.0087426,           0.0023719,           0.0004436,            0.004357,            0.004357,            0.004357
                  59,            0.016213,           0.0049954,          0.00078434,             0.99777,                   1,               0.995,              0.8495,           0.0084921,            0.002364,          0.00046578,            0.004258,            0.004258,            0.004258
                  60,            0.016607,           0.0050304,          0.00081408,             0.99766,                   1,               0.995,             0.83991,           0.0087415,           0.0023697,          0.00048031,            0.004159,            0.004159,            0.004159
                  61,            0.016313,           0.0052506,          0.00075272,             0.99815,                   1,               0.995,             0.85319,           0.0084405,           0.0023583,          0.00045659,             0.00406,             0.00406,             0.00406
                  62,            0.016363,            0.005152,          0.00072799,             0.99798,                   1,               0.995,             0.84409,           0.0084992,           0.0023481,          0.00041881,            0.003961,            0.003961,            0.003961
                  63,            0.016144,           0.0050321,          0.00070624,             0.99828,                   1,               0.995,             0.84138,           0.0087111,           0.0023683,           0.0004049,            0.003862,            0.003862,            0.003862
                  64,            0.015814,           0.0047521,           0.0006332,             0.99831,                   1,               0.995,             0.84853,           0.0081962,           0.0023461,          0.00040151,            0.003763,            0.003763,            0.003763
                  65,              0.0159,           0.0051966,          0.00068193,             0.99837,                   1,               0.995,             0.85254,           0.0083024,           0.0023141,          0.00037721,            0.003664,            0.003664,            0.003664
                  66,            0.016475,           0.0049086,             0.00068,             0.99833,                   1,               0.995,             0.85545,           0.0082137,           0.0023446,          0.00035379,            0.003565,            0.003565,            0.003565
                  67,            0.015629,            0.004904,          0.00061621,             0.99846,                   1,               0.995,             0.84714,            0.008168,           0.0023229,          0.00035922,            0.003466,            0.003466,            0.003466
                  68,            0.015898,           0.0048519,          0.00066447,             0.99843,                   1,               0.995,             0.85073,           0.0081708,           0.0023129,          0.00037455,            0.003367,            0.003367,            0.003367
                  69,             0.01603,           0.0047057,          0.00069531,             0.99853,                   1,               0.995,             0.85248,           0.0081347,           0.0023216,          0.00036613,            0.003268,            0.003268,            0.003268
